"Leisure activities"
"Subjects_1";"Subjects_2";"Subjects_3";"Subjects_4";"Personal characteristics";"Periods";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"1-4 hours a week";"Men";"%";"6";"6";"6";"7";"7";"6";"7";"7";"7";"7";"6";"6";".";".";"."
"Hobbies";"Singing, making music";"Hours spent playing a musical instrument";"1-4 hours a week";"Women";"%";"5";"5";"5";"5";"5";"6";"6";"5";"6";"5";"5";"5";".";".";"."
"Hobbies";"Singing, making music";"Membership school of music";"Membership school of music";"Total personal characteristics";"%";"18";"17";"15";"17";"17";"17";"17";"16";"15";"17";"15";"15";".";".";"."
"Hobbies";"Singing, making music";"Membership school of music";"Membership school of music";"Men";"%";"15";"14";"12";"11";"13";"15";"15";"14";"11";"13";"13";"10";".";".";"."
"Hobbies";"Singing, making music";"Membership school of music";"Membership school of music";"Women";"%";"21";"20";"19";"25";"23";"20";"19";"19";"21";"23";"19";"21";".";".";"."
"Culture";"Visit to a museum";"At least once a month";"At least once a month";"Total personal characteristics";"%";"3";"3";"3";"3";"1";"1";"1";"1";"1";"1";"1";"1";".";".";"."
"Culture";"Visit to a museum";"At least once a month";"At least once a month";"Men";"%";"3";"3";"3";"3";"1";"1";"1";"1";"1";"1";"1";"1";".";".";"."
"Culture";"Visit to a museum";"At least once a month";"At least once a month";"Women";"%";"3";"3";"3";"3";"1";"1";"1";"1";"1";"1";"1";"1";".";".";"."
"Culture";"Visit to a museum";"3-11 times a year";"3-11 times a year";"Total personal characteristics";"%";"13";"14";"14";"14";"13";"14";"14";"13";"14";"14";"15";"15";".";".";"."
"Culture";"Visit to a museum";"3-11 times a year";"3-11 times a year";"Men";"%";"13";"13";"14";"13";"12";"13";"13";"13";"13";"13";"13";"14";".";".";"."
"Culture";"Visit to a museum";"3-11 times a year";"3-11 times a year";"Women";"%";"14";"15";"15";"14";"14";"15";"14";"14";"14";"14";"16";"16";".";".";"."
"Culture";"Concert";"At least once a month";"At least once a month";"Total personal characteristics";"%";"3";"5";"4";"5";"4";"4";"4";"3";"4";"5";"6";"5";"6";"5";"5"
"Culture";"Concert";"At least once a month";"At least once a month";"Men";"%";"3";"4";"4";"6";"4";"5";"5";"4";"5";"6";"8";"6";"8";"6";"7"
"Culture";"Concert";"At least once a month";"At least once a month";"Women";"%";"3";"5";"3";"4";"4";"3";"4";"3";"2";"3";"4";"4";"4";"4";"3"
"Culture";"Concert";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"16";"16";"16";"16";"14";"13";"13";"13";"13";"14";"14";"13";"11";"14";"12"
"Culture";"Concert";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"16";"15";"16";"15";"13";"13";"13";"13";"13";"15";"14";"14";"11";"13";"12"
"Culture";"Concert";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"16";"17";"17";"17";"15";"13";"12";"13";"13";"14";"15";"13";"12";"15";"12"
"Culture";"Theatre";"At least once a month";"At least once a month";"Total personal characteristics";"%";"1";"1";"1";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"2";"1"
"Culture";"Theatre";"At least once a month";"At least once a month";"Men";"%";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"2";"1";"2";"2";"2"
"Culture";"Theatre";"At least once a month";"At least once a month";"Women";"%";"1";"2";"1";"2";"2";"2";"1";"1";"1";"2";"1";"1";"2";"3";"1"
"Culture";"Theatre";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"7";"8";"8";"9";"7";"7";"7";"7";"7";"8";"8";"8";"7";"6";"7"
"Culture";"Theatre";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"6";"7";"6";"7";"5";"5";"6";"6";"5";"6";"5";"5";"4";"4";"6"
"Culture";"Theatre";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"8";"10";"10";"10";"9";"8";"8";"8";"9";"9";"10";"10";"9";"8";"9"
"Culture";"Cinema";"At least once a month";"At least once a month";"Total personal characteristics";"%";"10";"10";"10";"10";"11";"11";"11";"11";"11";"11";"11";"11";"12";"14";"13"
"Culture";"Cinema";"At least once a month";"At least once a month";"Men";"%";"11";"11";"10";"11";"11";"12";"12";"11";"11";"13";"11";"11";"11";"14";"11"
"Culture";"Cinema";"At least once a month";"At least once a month";"Women";"%";"9";"9";"9";"9";"10";"11";"9";"10";"11";"10";"12";"12";"13";"15";"14"
"Culture";"Cinema";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"18";"20";"19";"20";"17";"18";"20";"19";"18";"19";"19";"19";"20";"19";"20"
"Culture";"Cinema";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"18";"20";"19";"20";"17";"18";"20";"18";"17";"18";"18";"18";"18";"17";"20"
"Culture";"Cinema";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"17";"20";"19";"20";"18";"19";"20";"19";"18";"21";"20";"20";"22";"21";"21"
"Recreation";"Trips to the countryside";"At least once a month";"At least once a month";"Total personal characteristics";"%";"50";"50";"48";"50";"47";"48";"48";"48";"48";"46";"48";"45";"48";"47";"46"
"Recreation";"Trips to the countryside";"At least once a month";"At least once a month";"Men";"%";"49";"48";"45";"48";"47";"47";"48";"46";"47";"45";"47";"42";"47";"46";"46"
"Recreation";"Trips to the countryside";"At least once a month";"At least once a month";"Women";"%";"52";"52";"50";"51";"48";"49";"49";"51";"50";"48";"48";"49";"49";"48";"46"
"Recreation";"Trips to the countryside";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"24";"22";"23";"22";"21";"19";"19";"20";"18";"20";"19";"20";"20";"19";"20"
"Recreation";"Trips to the countryside";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"24";"23";"23";"21";"22";"20";"20";"21";"18";"21";"19";"21";"20";"19";"20"
"Recreation";"Trips to the countryside";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"23";"21";"23";"22";"20";"18";"19";"20";"17";"18";"18";"17";"18";"19";"19"
"Recreation";"Large playgrounds";"At least once a month";"At least once a month";"Total personal characteristics";"%";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4"
"Recreation";"Large playgrounds";"At least once a month";"At least once a month";"Men";"%";"2";"2";"2";"3";"2";"3";"2";"3";"3";"3";"3";"2";"4";"4";"4"
"Recreation";"Large playgrounds";"At least once a month";"At least once a month";"Women";"%";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"5"
"Recreation";"Large playgrounds";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"6";"6";"7";"7";"6";"6";"6";"6";"6";"6";"7";"6";"7";"6";"6"
"Recreation";"Large playgrounds";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"5";"6";"7";"6";"7";"6";"6";"6";"6";"7";"8";"7";"8";"6";"6"
"Recreation";"Large playgrounds";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"7";"7";"7";"7";"5";"5";"6";"6";"5";"5";"6";"5";"6";"4";"6"
"Recreation";"Amusement parks";"At least once a month";"At least once a month";"Total personal characteristics";"%";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Recreation";"Amusement parks";"At least once a month";"At least once a month";"Men";"%";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1"
"Recreation";"Amusement parks";"At least once a month";"At least once a month";"Women";"%";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"1";"0";"1"
"Recreation";"Amusement parks";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"5";"5";"6";"6";"5";"4";"4";"4";"3";"3";"4";"3";"3";"4";"3"
"Recreation";"Amusement parks";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"5";"5";"5";"7";"5";"4";"4";"4";"4";"5";"5";"5";"4";"5";"4"
"Recreation";"Amusement parks";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"5";"6";"6";"6";"4";"4";"4";"3";"3";"1";"2";"2";"2";"3";"2"
"Recreation";"Large zoos";"At least once a month";"At least once a month";"Total personal characteristics";"%";"1";"1";"2";"2";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1"
"Recreation";"Large zoos";"At least once a month";"At least once a month";"Men";"%";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1"
"Recreation";"Large zoos";"At least once a month";"At least once a month";"Women";"%";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"1"
"Recreation";"Large zoos";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"5";"5";"5";"5";"5";"4";"4";"4";"3";"3";"4";"4";"3";"3";"2"
"Recreation";"Large zoos";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"5";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3"
"Recreation";"Large zoos";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"5";"5";"5";"6";"5";"4";"4";"3";"3";"2";"3";"3";"2";"2";"1"
"Recreation";"Frequent walkers";"Frequent walkers";"Frequent walkers";"Total personal characteristics";"%";"57";"57";"58";"59";"58";"57";"58";"59";"59";"60";"60";"60";".";".";"."
"Recreation";"Frequent walkers";"Frequent walkers";"Frequent walkers";"Men";"%";"54";"54";"55";"55";"55";"53";"55";"55";"54";"57";"55";"56";".";".";"."
"Recreation";"Frequent walkers";"Frequent walkers";"Frequent walkers";"Women";"%";"59";"59";"61";"62";"61";"62";"61";"63";"63";"63";"65";"63";".";".";"."
"Recreation";"Walking, number of hours a week";"5 hours a week or more";"5 hours a week or more";"Total personal characteristics";"% of frequent walkers";"23";"23";"22";"22";"22";"21";"22";"21";"23";"24";"24";"23";".";".";"."
"Recreation";"Walking, number of hours a week";"5 hours a week or more";"5 hours a week or more";"Men";"% of frequent walkers";"23";"21";"22";"21";"21";"18";"22";"21";"21";"23";"22";"22";".";".";"."
"Recreation";"Walking, number of hours a week";"5 hours a week or more";"5 hours a week or more";"Women";"% of frequent walkers";"23";"24";"22";"23";"22";"23";"23";"22";"24";"25";"26";"24";".";".";"."
"Recreation";"Walking, number of hours a week";"1-4 hours a week";"1-4 hours a week";"Total personal characteristics";"% of frequent walkers";"59";"59";"62";"62";"62";"61";"61";"62";"62";"62";"62";"62";".";".";"."
"Recreation";"Walking, number of hours a week";"1-4 hours a week";"1-4 hours a week";"Men";"% of frequent walkers";"58";"59";"60";"63";"62";"62";"60";"60";"63";"63";"63";"62";".";".";"."
"Recreation";"Walking, number of hours a week";"1-4 hours a week";"1-4 hours a week";"Women";"% of frequent walkers";"59";"59";"64";"61";"63";"60";"61";"64";"61";"61";"60";"62";".";".";"."
"Recreation";"Cycling trips";"Cycling trips";"Cycling trips";"Total personal characteristics";"%";"50";"49";"49";"49";"48";"49";"50";"50";"50";"50";"50";"50";".";".";"."
"Recreation";"Cycling trips";"Cycling trips";"Cycling trips";"Men";"%";"50";"49";"48";"49";"48";"49";"50";"51";"50";"49";"49";"49";".";".";"."
"Recreation";"Cycling trips";"Cycling trips";"Cycling trips";"Women";"%";"50";"49";"49";"49";"49";"50";"49";"50";"51";"50";"50";"50";".";".";"."
"Recreation";"Cycling trips, hours a week";"5 hours a week or more";"5 hours a week or more";"Total personal characteristics";"% of frequent cyclers";"26";"24";"23";"23";"23";"22";"24";"23";"22";"25";"24";"24";".";".";"."
"Recreation";"Cycling trips, hours a week";"5 hours a week or more";"5 hours a week or more";"Men";"% of frequent cyclers";"26";"26";"25";"24";"25";"23";"25";"24";"24";"27";"24";"24";".";".";"."
"Recreation";"Cycling trips, hours a week";"5 hours a week or more";"5 hours a week or more";"Women";"% of frequent cyclers";"26";"22";"22";"21";"22";"22";"23";"22";"21";"23";"24";"24";".";".";"."
"Recreation";"Cycling trips, hours a week";"1-4 hours a week";"1-4 hours a week";"Total personal characteristics";"% of frequent cyclers";"59";"59";"62";"62";"62";"62";"60";"62";"64";"61";"62";"62";".";".";"."
"Recreation";"Cycling trips, hours a week";"1-4 hours a week";"1-4 hours a week";"Men";"% of frequent cyclers";"58";"56";"61";"60";"61";"59";"58";"59";"61";"58";"60";"62";".";".";"."
"Recreation";"Cycling trips, hours a week";"1-4 hours a week";"1-4 hours a week";"Women";"% of frequent cyclers";"60";"61";"63";"65";"64";"64";"63";"65";"66";"63";"64";"63";".";".";"."
"Going out";"Going to the pub";"At least once a week";"At least once a week";"Total personal characteristics";"%";"12";"13";"13";"13";"13";"12";"11";"11";"10";"11";"10";"10";".";".";"."
"Going out";"Going to the pub";"At least once a week";"At least once a week";"Men";"%";"17";"18";"17";"17";"17";"16";"15";"15";"14";"14";"14";"13";".";".";"."
"Going out";"Going to the pub";"At least once a week";"At least once a week";"Women";"%";"8";"9";"9";"8";"8";"8";"7";"7";"6";"7";"7";"6";".";".";"."
"Going out";"Going to the pub";"1-3 times a month";"1-3 times a month";"Total personal characteristics";"%";"14";"14";"14";"15";"16";"16";"16";"16";"15";"16";"16";"18";".";".";"."
"Going out";"Going to the pub";"1-3 times a month";"1-3 times a month";"Men";"%";"16";"15";"16";"16";"18";"18";"18";"18";"17";"19";"18";"19";".";".";"."
"Going out";"Going to the pub";"1-3 times a month";"1-3 times a month";"Women";"%";"12";"12";"13";"13";"14";"14";"14";"14";"13";"14";"15";"16";".";".";"."
"Going out";"Dining out";"At least once a month";"At least once a month";"Total personal characteristics";"%";"29";"32";"34";"35";"35";"35";"31";"32";"32";"33";"34";"34";"32";"36";"35"
"Going out";"Dining out";"At least once a month";"At least once a month";"Men";"%";"32";"33";"37";"37";"39";"38";"34";"34";"34";"36";"36";"34";"36";"36";"36"
"Going out";"Dining out";"At least once a month";"At least once a month";"Women";"%";"27";"32";"32";"33";"32";"33";"28";"30";"30";"29";"31";"34";"29";"36";"33"
"Going out";"Dining out";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"38";"37";"37";"39";"34";"34";"35";"34";"32";"34";"33";"34";"35";"32";"33"
"Going out";"Dining out";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"37";"37";"35";"37";"32";"33";"33";"34";"32";"32";"31";"35";"32";"31";"31"
"Going out";"Dining out";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"39";"37";"38";"40";"36";"35";"37";"34";"32";"35";"35";"34";"37";"33";"34"
"Going out";"Dancing, going to the disco";"At least once a month";"At least once a month";"Total personal characteristics";"%";"14";"14";"15";"14";"14";"14";"12";"12";"12";"12";"12";"12";"10";"9";"9"
"Going out";"Dancing, going to the disco";"At least once a month";"At least once a month";"Men";"%";"16";"17";"17";"15";"15";"17";"14";"13";"13";"13";"12";"11";"9";"8";"9"
"Going out";"Dancing, going to the disco";"At least once a month";"At least once a month";"Women";"%";"11";"12";"12";"13";"12";"12";"10";"12";"11";"11";"12";"12";"10";"9";"9"
"Going out";"Dancing, going to the disco";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"7";"7";"7";"7";"6";"6";"7";"7";"7";"6";"6";"6";"7";"8";"6"
"Going out";"Dancing, going to the disco";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"8";"8";"7";"7";"6";"6";"6";"8";"7";"5";"7";"7";"8";"8";"6"
"Going out";"Dancing, going to the disco";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"6";"7";"7";"6";"5";"6";"7";"7";"7";"7";"5";"5";"6";"7";"6"
"Going out";"Going out during the afternoon or night";"At least once a month";"At least once a month";"Total personal characteristics";"%";"40";"39";"40";"40";"42";"44";"45";"48";"49";"48";"48";"47";"48";"53";"53"
"Going out";"Going out during the afternoon or night";"At least once a month";"At least once a month";"Men";"%";"38";"37";"40";"39";"41";"44";"44";"48";"48";"49";"46";"46";"48";"51";"51"
"Going out";"Going out during the afternoon or night";"At least once a month";"At least once a month";"Women";"%";"42";"40";"40";"41";"42";"45";"46";"47";"49";"47";"50";"49";"48";"56";"54"
"Going out";"Going out during the afternoon or night";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Total personal characteristics";"%";"18";"18";"19";"19";"15";"16";"16";"16";"16";"18";"18";"19";"18";"15";"17"
"Going out";"Going out during the afternoon or night";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Men";"%";"19";"20";"19";"20";"15";"16";"16";"17";"18";"19";"19";"22";"19";"17";"20"
"Going out";"Going out during the afternoon or night";"More than 3 times a year, not monthly";"More than 3 times a year, not monthly";"Women";"%";"17";"17";"19";"18";"15";"17";"16";"15";"14";"16";"16";"16";"17";"13";"14"
"© Statistics Netherlands, Den Haag/Heerlen 25-1-2016"
